date,time,stock,category,newhigh_type,change_pct,trading_value,market_cap,current_price,investment_point,recent_results,source,detail_url,collected_at
2026-06-01,,로보스타,로봇,역사적,+30.0,909억,1.2조,"122,200원",젠슨 황 방한 기대감에 따른 로봇 산업 전반의 주목. / 반도체 자동화 수요 증가에 따른 성장 기대감.,2026.1Q 251억/ 1억/ 9억 / 2025.4Q 246억/ -14억/ -11억 / 2025.3Q 173억/ -11억/ -5억 / 2025.2Q 197억/ -8억/ -8억,sin,https://www.awakeplus.co.kr/board/sin/2026-06-01,reparsed-local-2026-07-18
2026-06-01,,두산로보틱스,로봇,역사적,+29.9,"4,726억",,,,,sin,https://www.awakeplus.co.kr/board/sin/2026-06-01,reparsed-local-2026-07-18
2026-06-01,,LG전자,금융/지주/밸류업,역사적,+29.9,1.9조,62.0조,"380,500원",젠슨 황과의 회동 기대감에 따른 주가 상승 기대감. / AI 및 로봇 사업 확장에 대한 긍정적인 전망.,"2026.2Q 223,049억/ 9,896억/ 6,212억(E) / 2026.1Q 237,272억/ 16,737억/ 10,051억 / 2025.4Q 238,522억/ -1,090억/ -7,259억 / 2025.3Q 218,738억/ 6,889억/ 4,611억 / 2025.2Q 207,351억/ 6,394억/ 6,394억",sin,https://www.awakeplus.co.kr/board/sin/2026-06-01,reparsed-local-2026-07-18
2026-06-01,,LG씨엔에스,가상자산/STO/핀테크,역사적,+26.3,1.6조,13.9조,"143,700원",AI 및 로봇 신사업과 관련된 '젠슨 황' 효과로 인한 시장의 관심 증가. / LG AI 연구원의 엑사원 모델을 독점적으로 보유한 강점에 따른 기대감.,"2026.2Q 15,647억/ 1,443억/ 1,088억(E) / 2026.1Q 13,150억/ 942억/ 809억 / 2025.4Q 19,357억/ 2,120억/ 1,776억 / 2025.3Q 15,223억/ 1,202억/ 1,052억 / 2025.2Q 14,602억/ 1,408억/ 1,408억",sin,https://www.awakeplus.co.kr/board/sin/2026-06-01,reparsed-local-2026-07-18
2026-06-01,,로보티즈,로봇,역사적,+23.7,"5,496억",5.9조,"402,500원",자체 개발한 휴머노이드 로봇의 공개에 따른 피지컬 AI 사업 확장 기대감. / 피지컬 AI/휴머노이드 로봇 테마 상승세에 따른 주목.,2026.2Q 143억/ 19억/ 20억(E) / 2026.1Q 118억/ -118억/ -99억 / 2025.4Q 116억/ 21억/ 30억 / 2025.3Q 92억/ 2억/ 9억 / 2025.2Q 79억/ 2억/ 2억,sin,https://www.awakeplus.co.kr/board/sin/2026-06-01,reparsed-local-2026-07-18
2026-06-01,,현대차,금융/지주/밸류업,역사적,+3.7,2.1조,153.6조,"750,000원",젠슨 황 CEO의 방한 기대감에 따른 피지컬 AI 관련주 상승 영향. / 플래티어의 인증중고차 플랫폼 운영 수주 소식에 따른 긍정적 전망.,"2026.2Q 500,658억/ 32,575억/ 32,806억(E) / 2026.1Q 459,389억/ 25,147억/ 25,849억 / 2025.4Q 468,386억/ 16,954억/ 11,840억 / 2025.3Q 467,214억/ 25,373억/ 25,482억 / 2025.2Q 482,867억/ 36,016억/ 36,016억",sin,https://www.awakeplus.co.kr/board/sin/2026-06-01,reparsed-local-2026-07-18
2026-06-01,,현대오토에버,로봇,역사적,+0.8,"7,321억",,,,,sin,https://www.awakeplus.co.kr/board/sin/2026-06-01,reparsed-local-2026-07-18
2026-06-01,,삼성에스디에스,가상자산/STO/핀테크,역사적,+19.6,1.0조,28.0조,"362,000원",AI 데이터센터 수혜 기대감이 주가 상승의 주요 요인. / 스마트팩토리 테마 상승세가 추가적인 주가 상승 동력으로 작용.,"2026.2Q 35,239억/ 2,211억/ 1,894억(E) / 2026.1Q 33,529억/ 783억/ 918억 / 2025.4Q 35,368억/ 2,261억/ 1,879억 / 2025.3Q 33,913억/ 2,323억/ 2,011억 / 2025.2Q 35,120억/ 2,302억/ 2,302억",sin,https://www.awakeplus.co.kr/board/sin/2026-06-01,reparsed-local-2026-07-18
2026-06-01,,NAVER,가상자산/STO/핀테크,52주 / 역대 최대거래,+16.0,4.0조,42.6조,"271,500원",엔비디아와의 협력 가능성에 대한 기대감으로 인한 주가 상승 기대감. / 젠슨 황의 네이버 사옥 방문 소식으로 인한 전략적 파트너십 강화 기대감.,"2026.2Q 33,697억/ 5,808억/ 5,107억(E) / 2026.1Q 32,411억/ 5,418억/ 2,910억 / 2025.4Q 31,951억/ 6,106억/ 1,630억 / 2025.3Q 31,381억/ 5,706억/ 7,347억 / 2025.2Q 29,151억/ 5,216억/ 5,216억",sin,https://www.awakeplus.co.kr/board/sin/2026-06-01,reparsed-local-2026-07-18
2026-06-01,,LG,금융/지주/밸류업,역사적,+13.1,"9,340억",,,,,sin,https://www.awakeplus.co.kr/board/sin/2026-06-01,reparsed-local-2026-07-18
2026-06-01,,두산,금융/지주/밸류업,역사적,+11.7,"5,108억",35.7조,"2,203,000원",엔비디아 CEO 젠슨 황의 방한 소식으로 로봇 관련주에 대한 협력 기대감 증가. / 두산의 전력설비 관련 테마 상승세에 따른 긍정적 투자 심리 강화.,"2026.2Q 54,632억/ 4,553억/ 2,614억(E) / 2026.1Q 50,603억/ 3,408억/ 1,015억 / 2025.4Q 56,867억/ 2,752억/ -1,064억 / 2025.3Q 44,524억/ 2,313억/ 1,115억 / 2025.2Q 53,464억/ 3,578억/ 3,578억",sin,https://www.awakeplus.co.kr/board/sin/2026-06-01,reparsed-local-2026-07-18
2026-06-01,,SK텔레콤,금융/지주/밸류업,역사적,+11.5,"3,973억",24.1조,"112,200원",AI 모델 생태계 구축에 따른 미래 성장 기대감. / 분기 실적 컨센서스 부합 및 주주환원 정상화 전망.,"2026.2Q 44,418억/ 5,289억/ 3,133억(E) / 2026.1Q 43,923억/ 5,376억/ 3,164억 / 2025.4Q 43,287억/ 1,191억/ 970억 / 2025.3Q 39,781억/ 484억/ -1,667억 / 2025.2Q 43,388억/ 3,383억/ 3,383억",sin,https://www.awakeplus.co.kr/board/sin/2026-06-01,reparsed-local-2026-07-18
2026-06-01,,삼성화재,금융/지주/밸류업,역사적,+6.2,"1,062억",27.0조,"604,000원",수익성 관리 강화와 보험 및 투자 손익의 동반 개선에 대한 긍정적 실적 전망. / 2026년 1분기 실적이 기대치를 초과하며 업종 내 방어주로 입증된 긍정적 평가.,"2026.1Q -/ 8,474억/ 6,200억(E) / 2025.4Q 60,830억/ 3,913억/ 2,344억 / 2025.3Q 62,564억/ 6,641억/ 5,385억 / 2025.2Q 69,208억/ 8,115억/ 6,384억 / 2025.1Q 61,058억/ 7,924억/ 7,924억",sin,https://www.awakeplus.co.kr/board/sin/2026-06-01,reparsed-local-2026-07-18
